Date: 2024-01-25 23:24:05.118397, Interval: 20.375, Type: Eyes not on road
Date: 2024-01-25 23:24:07.121010, Interval: 1.992, Type:Normal
Date: 2024-01-25 23:24:09.183620, Interval: 1.849, Type:Normal
Date: 2024-01-25 23:24:10.541707, Interval: 1.147, Type:Normal
Date: 2024-01-25 23:24:28.970373, Interval: 18.322, Type:Normal
Date: 2024-01-25 23:24:30.975664, Interval: 1.687, Type:Normal
Date: 2024-01-25 23:24:34.245756, Interval: 2.952, Type:Normal
Date: 2024-01-25 23:24:40.888428, Interval: 6.523, Type:Normal
Date: 2024-01-25 23:24:49.007943, Interval: 8.007, Type:Normal
Date: 2024-01-25 23:31:57.373063, Interval: 20.732, Type: Eyes not on road
Date: 2024-01-25 23:32:01.093281, Interval: 3.71, Type:Normal
Date: 2024-01-25 23:32:27.740395, Interval: 26.503, Type:Normal
Date: 2024-01-25 23:32:29.528775, Interval: 1.662, Type:Normal
Date: 2024-01-25 23:33:20.518500, Interval: 20.565, Type: Eyes not on road
Date: 2024-01-25 23:33:33.141571, Interval: 11.263, Type:Normal
Date: 2024-01-25 23:35:30.382389, Interval: 19.928, Type: Eyes not on road
Date: 2024-01-25 23:35:32.876396, Interval: 2.332, Type:Normal
Date: 2024-01-25 23:35:40.892564, Interval: 7.882, Type:Normal
Date: 2024-01-25 23:35:46.018704, Interval: 4.989, Type:Normal
Date: 2024-01-25 23:35:51.920027, Interval: 4.697, Type:Normal
Date: 2024-01-25 23:35:53.867417, Interval: 1.66, Type:Normal
Date: 2024-01-25 23:35:56.287642, Interval: 2.264, Type:Normal
Date: 2024-01-25 23:35:57.968234, Interval: 1.551, Type:Normal
Date: 2024-01-25 23:36:02.416074, Interval: 4.295, Type:Normal
Date: 2024-01-25 23:36:21.855055, Interval: 18.9, Type:Normal
Date: 2024-01-25 23:36:29.828439, Interval: 3.915, Type:Normal
Date: 2024-01-25 23:36:32.335479, Interval: 1.189, Type:Yawning
Date: 2024-01-25 23:36:35.822758, Interval: 1.354, Type:Normal
Date: 2024-01-25 23:36:51.984870, Interval: 16.162, Type:Drowsy
Date: 2024-01-25 23:37:02.428324, Interval: 7.087, Type:Drowsy
Date: 2024-01-25 23:37:06.306081, Interval: 3.117, Type:Drowsy
Date: 2024-01-25 23:37:09.225472, Interval: 2.79, Type:Drowsy
Date: 2024-01-25 23:37:11.104550, Interval: 1.878, Type:Normal
Date: 2024-01-25 23:37:13.537822, Interval: 1.491, Type:Yawning
Date: 2024-01-25 23:37:18.177913, Interval: 3.939, Type:Normal
Date: 2024-01-25 23:37:21.826283, Interval: 2.169, Type:Normal
Date: 2024-01-25 23:37:31.362340, Interval: 1.293, Type:Normal
Date: 2024-01-25 23:37:35.251849, Interval: 2.187, Type:Yawning
Date: 2024-01-25 23:37:36.717328, Interval: 1.465, Type:Normal
Date: 2024-01-25 23:37:43.889339, Interval: 1.619, Type:Normal
Date: 2024-01-25 23:37:45.932523, Interval: 1.345, Type:Normal
